CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
334	613	12	0.6951	132.053
352	689	12	0.8208	15.959
172	357	12	0.675	-162.053
172	597	12	0.8725	43.990
622	628	12	0.9645	0.000
191	689	12	0.702	25.979
378	602	12	0.7595	-46.959
608	618	13	0.7997	12.073
254	679	14	0.8616	-0.000
401	679	14	0.9002	0.000
62	398	14	0.863	0.000
36	254	14	0.8296	0.000
62	254	14	0.8822	0.000
398	679	14	0.9066	-0.000
400	777	14	0.901	0.000
36	188	14	0.839	0.000
188	777	14	0.8968	0.000
36	398	14	0.8325	0.000
254	399	14	0.891	-0.000
401	699	14	0.9329	0.000
36	679	14	0.8245	-0.000
398	699	14	0.9192	-0.000
36	777	14	0.8198	0.000
188	254	14	0.8721	0.000
36	699	14	0.8613	-0.000
188	699	14	0.9265	-0.000
399	699	14	1.0	0.000
62	401	14	0.929	-0.000
399	400	14	0.8873	-0.000
62	699	14	0.9184	0.000
62	188	14	0.8577	0.000
188	399	14	0.9265	-0.000
188	400	14	0.8625	-0.000
188	401	14	0.9038	-0.000
62	400	14	0.8797	-0.000
188	398	14	0.889	0.000
62	777	14	0.9075	0.000
254	398	14	0.8709	0.000
398	399	14	0.9192	-0.000
399	679	14	0.9148	-0.000
36	399	14	0.8613	-0.000
398	401	14	0.8769	-0.000
36	62	14	0.8199	-0.000
62	679	14	0.8915	-0.000
188	679	14	0.8853	-0.000
254	401	14	0.8814	-0.000
400	401	14	0.8894	0.000
400	699	14	0.8873	0.000
401	777	14	0.8968	0.000
254	400	14	0.8709	-0.000
36	400	14	0.8108	-0.000
679	699	14	0.9148	0.000
254	777	14	0.8985	0.000
398	400	14	0.9071	-0.000
399	777	14	0.898	0.000
400	679	14	0.9035	0.000
62	399	14	0.9184	0.000
679	777	14	0.9124	0.000
254	699	14	0.891	-0.000
399	401	14	0.9329	-0.000
36	401	14	0.8218	-0.000
398	777	14	0.8876	0.000
699	777	14	0.898	0.000
18	116	15	0.7567	-3.008
18	129	15	0.7224	-3.008
20	116	15	0.7062	-3.008
116	129	15	0.7654	0.000
18	20	15	0.7673	-0.000
20	129	15	0.7389	-3.008
339	341	16	1.0	-0.000
341	342	16	0.8929	0.000
339	342	16	0.8929	-0.000
101	684	17	0.8583	-0.000
448	707	17	0.8418	-0.000
70	684	17	0.8265	-58.042
75	435	17	0.9043	-0.000
70	436	17	0.8293	-0.000
434	435	17	0.8937	0.000
435	569	17	0.8794	-0.000
70	75	17	0.8836	0.000
101	575	17	0.8445	-0.000
67	437	17	0.8993	-0.000
67	101	17	0.8455	-58.042
75	437	17	0.883	-0.000
434	569	17	0.8854	-0.000
67	448	17	0.8542	-58.042
75	569	17	0.8361	-0.000
67	70	17	1.0	0.000
67	434	17	0.8519	-0.000
435	437	17	0.8826	-0.000
67	569	17	0.8993	-0.000
86	443	17	0.8229	-0.000
437	569	17	0.8285	0.000
448	684	17	0.8303	0.000
101	707	17	0.8501	-0.000
70	437	17	0.8993	-0.000
67	75	17	0.8836	0.000
70	448	17	0.8542	-58.042
70	569	17	0.8993	-0.000
445	448	17	0.8499	-0.000
434	437	17	0.8364	-0.000
75	436	17	0.8463	-0.000
435	448	17	0.8254	-58.042
67	436	17	0.8293	-0.000
70	435	17	0.9222	-0.000
443	575	17	0.8391	0.000
67	684	17	0.8265	-58.042
70	101	17	0.8455	-58.042
75	448	17	0.8258	-58.042
434	436	17	0.8532	-0.000
435	436	17	0.8757	-0.000
101	448	17	0.8857	-0.000
436	569	17	0.8393	0.000
436	437	17	0.838	0.000
67	435	17	0.9222	-0.000
448	575	17	0.825	0.000
443	445	17	0.847	0.000
70	434	17	0.8519	-0.000
75	434	17	0.8747	-0.000
291	354	18	1.0	-0.001
428	726	19	0.8527	-0.000
428	431	19	0.885	-0.000
69	287	19	0.7982	0.000
666	702	19	0.7953	-40.031
78	421	19	0.7925	-0.000
427	565	19	0.8223	-0.000
83	427	19	0.8077	15.995
427	726	19	0.8223	-0.000
665	701	19	0.8638	0.000
595	773	19	0.8385	-0.000
423	666	19	0.8622	-0.000
69	565	19	0.8797	-0.000
423	665	19	0.8622	-0.000
287	428	19	0.8154	-0.000
433	595	19	0.8045	0.000
565	702	19	0.804	0.000
69	428	19	0.8379	0.000
83	433	19	0.8248	-0.000
83	429	19	0.8041	-0.000
726	775	19	0.8465	-0.000
429	773	19	0.8141	-0.000
60	775	19	0.888	-0.000
83	595	19	0.8414	0.000
665	702	19	0.7953	-40.031
69	431	19	0.8796	-0.000
64	773	19	0.8385	-0.000
665	666	19	1.0	0.000
565	775	19	0.8465	0.000
423	424	19	1.0	-0.000
429	432	19	0.8524	0.000
431	702	19	0.8332	0.000
60	565	19	0.8495	-0.000
43	64	19	0.8191	28.031
427	702	19	0.8703	-0.000
78	423	19	0.853	0.000
69	775	19	0.8894	-0.000
60	431	19	0.869	-0.000
287	775	19	0.7865	-0.000
427	431	19	0.8506	-0.000
69	702	19	0.8407	-0.000
60	64	19	0.8244	-15.995
60	702	19	0.8323	-0.000
64	432	19	0.8342	-0.000
424	666	19	0.8622	0.000
428	775	19	0.8991	-0.000
60	428	19	0.8506	0.000
60	427	19	0.8598	0.000
431	565	19	0.8614	-0.000
78	424	19	0.853	-0.000
427	775	19	0.9059	-0.000
60	726	19	0.8495	-0.000
702	726	19	0.804	0.000
421	424	19	0.8138	-0.000
60	433	19	0.8604	-15.995
432	773	19	0.8333	-0.000
431	726	19	0.8614	0.000
60	69	19	0.8663	-0.000
69	726	19	0.8797	-0.000
666	701	19	0.8638	0.000
432	433	19	0.8418	-0.000
78	666	19	0.8661	-0.000
421	701	19	0.8311	-0.000
43	595	19	0.8191	28.031
428	565	19	0.8527	-0.000
432	595	19	0.8342	0.000
424	665	19	0.8622	0.000
431	775	19	0.8842	-0.000
64	433	19	0.8045	-0.000
69	427	19	0.8565	0.000
421	423	19	0.8138	0.000
60	595	19	0.8244	-15.995
427	428	19	0.8502	0.000
83	773	19	0.8576	-0.000
64	83	19	0.8414	0.000
83	432	19	0.8704	-0.000
565	726	19	1.0	0.000
423	701	19	0.8576	-0.000
64	595	19	1.0	0.000
428	702	19	0.8021	-0.000
78	665	19	0.8661	-0.000
702	775	19	0.8834	-0.000
424	701	19	0.8576	0.000
78	701	19	0.8065	-0.000
293	337	20	0.7763	-23.999
316	635	21	0.6839	-365.134
625	737	21	0.8175	-324.107
316	737	21	0.9249	-162.054
316	625	21	0.8886	162.053
635	737	21	0.7365	203.080
558	722	22	0.888	0.000
52	558	22	0.8612	-0.000
407	408	22	0.8771	0.000
402	664	22	0.8724	-2.016
59	558	22	0.9054	2.015
402	680	22	0.8961	-0.000
59	556	22	0.887	2.015
408	664	22	0.8771	-0.000
407	664	22	1.0	0.000
38	558	22	0.8636	-0.000
59	664	22	0.8752	-0.000
556	558	22	0.8693	-0.000
265	408	22	0.8999	-0.000
38	402	22	0.9001	-0.000
59	408	22	0.8597	0.000
402	407	22	0.8724	-2.016
558	680	22	0.8673	-0.000
59	407	22	0.8752	-0.000
38	59	22	0.8578	-2.015
556	680	22	0.8592	-0.000
186	556	22	0.8655	0.000
38	680	22	0.8708	-0.000
402	556	22	0.8711	0.000
265	664	22	0.8867	-0.000
265	407	22	0.8867	-0.000
59	265	22	0.8589	0.000
631	648	23	0.6878	46.959
372	590	25	0.862	-4.029
587	742	25	0.8517	26.012
269	587	25	0.8419	-26.011
320	671	25	0.8636	2.017
590	752	25	0.7517	-0.002
589	742	25	0.869	26.013
590	742	25	0.869	26.014
589	752	25	0.7517	-0.002
619	641	25	0.9513	-28.032
502	641	25	0.6546	234.199
165	584	25	0.8958	3.087
502	752	25	0.9145	-28.032
320	752	25	0.6962	-264.247
320	641	25	0.9459	-2.016
589	590	25	1.0	-0.001
372	742	25	0.8378	21.985
651	671	25	0.7428	-23.998
372	589	25	0.862	-4.028
269	590	25	0.846	-26.013
742	752	25	0.8204	-26.016
587	589	25	0.8715	-0.002
269	589	25	0.846	-26.012
269	584	25	0.8936	-26.012
641	651	25	0.9139	28.031
372	752	25	0.8083	-4.031
372	502	25	0.7333	24.001
320	619	25	0.9208	26.015
320	651	25	0.8959	26.015
320	502	25	0.6534	-236.215
502	742	25	0.7669	-2.016
641	671	25	0.7821	4.033
587	590	25	0.8715	-0.002
619	651	25	0.8575	-0.000
372	587	25	0.8195	-4.027
619	671	25	0.7623	-23.999
68	667	27	0.838	-0.000
276	739	27	0.8064	-0.000
276	430	27	0.7717	0.000
276	667	27	0.7322	-0.000
68	566	27	0.7685	-0.000
430	669	27	0.8311	-0.000
58	566	27	0.7232	-0.000
58	276	27	0.7602	0.000
68	276	27	0.761	0.000
276	566	27	0.7689	-0.000
58	430	27	0.7925	0.000
68	430	27	0.8286	0.000
667	669	27	0.8312	0.000
566	667	27	0.7646	-0.000
566	669	27	0.7497	0.000
68	669	27	0.8467	-0.000
430	566	27	0.8481	-0.000
430	739	27	0.8492	-0.000
276	669	27	0.7687	-0.000
667	739	27	0.785	0.000
58	739	27	0.8111	-0.000
58	669	27	0.8235	-0.000
566	739	27	0.7697	0.000
669	739	27	0.8546	0.000
430	667	27	0.8177	-0.000
58	667	27	0.7654	-0.000
68	739	27	0.8666	-0.000
58	68	27	0.8088	0.000
527	733	29	0.8701	16.031
137	532	29	0.8157	-28.030
382	527	29	0.9617	14.016
94	522	29	0.6598	-61.999
94	531	29	0.9449	-14.011
526	530	29	0.8046	-14.015
274	534	29	0.8341	-2.011
531	749	29	0.7719	16.025
229	522	29	0.7802	-14.019
94	733	29	0.8732	2.018
530	534	29	0.8899	0.001
530	531	29	0.8508	14.017
219	522	29	0.6545	-61.996
219	749	29	0.7859	2.017
219	531	29	0.8973	-14.008
94	219	29	0.9272	-0.003
250	522	29	0.786	-14.018
94	250	29	0.6693	-47.981
526	527	29	0.9757	0.001
137	528	29	0.7279	-12.001
530	536	29	0.6979	16.029
528	531	29	0.7123	-2.012
94	749	29	0.7699	2.015
219	527	29	0.8706	-14.010
528	534	29	0.7061	-16.029
516	522	29	0.6972	-0.002
340	528	29	0.6972	-12.003
219	529	29	0.7351	-14.011
531	534	29	0.9462	-14.016
229	516	29	0.6628	-14.017
94	526	29	0.9367	-14.013
527	528	29	0.7095	2.015
529	534	29	0.6543	-14.014
531	733	29	0.8654	16.028
526	531	29	0.9685	0.003
274	382	29	0.8364	-2.013
274	528	29	0.709	14.017
525	536	29	0.6804	14.023
382	526	29	0.9644	14.016
219	733	29	0.8185	2.021
528	733	29	0.7034	14.016
382	530	29	0.8267	0.001
528	536	29	0.7557	-0.001
733	749	29	0.7868	-0.003
382	534	29	0.9324	0.002
526	733	29	0.8748	16.031
526	528	29	0.7136	2.015
382	531	29	0.9524	14.018
219	526	29	0.8633	-14.011
250	516	29	0.6671	-14.016
94	229	29	0.6727	-47.981
527	749	29	0.7526	16.027
527	530	29	0.8211	-14.015
529	530	29	0.7102	-14.015
528	530	29	0.7859	-16.030
526	749	29	0.7664	16.028
229	250	29	0.9146	-0.001
529	536	29	0.6518	2.014
137	533	29	0.8378	-14.014
94	527	29	0.9435	-14.013
274	530	29	0.756	-2.012
137	340	29	0.9272	0.002
527	531	29	0.979	0.002
532	533	29	0.8454	14.016
536	749	29	0.6516	14.014
527	534	29	0.9406	-14.014
340	532	29	0.7893	-28.032
526	534	29	0.9216	-14.014
340	533	29	0.8077	-14.016
607	691	31	0.7506	2.020
607	747	31	0.7163	4.034
638	747	31	0.7975	2.017
607	638	31	0.7696	2.017
638	691	31	0.714	0.003
624	638	31	0.8337	14.016
691	747	31	0.7882	2.013
624	691	31	0.7964	14.019
732	736	32	0.9616	-14.013
194	732	32	0.9766	2.015
194	642	32	0.9139	-2.014
642	732	32	0.9073	4.029
640	736	32	0.9668	2.017
194	640	32	0.9807	-14.015
440	567	35	1.0	0.000
105	567	35	0.9038	-0.000
105	439	35	0.8814	-0.000
105	440	35	0.9038	-0.001
717	728	38	0.9492	15.995
112	503	38	0.9293	28.031
486	728	38	0.9356	-10.021
486	545	38	1.0	0.000
243	760	38	0.9502	-83.025
545	728	38	0.9356	-10.021
108	110	38	1.0	0.000
485	717	38	0.934	25.069
243	717	38	0.9487	-57.008
545	717	38	0.9335	-26.015
187	721	38	0.9258	0.001
112	721	38	0.932	-0.000
106	220	38	0.9251	-28.030
108	113	38	0.9493	0.000
246	582	38	0.9194	-2.012
108	728	38	0.9388	15.995
225	246	38	0.9166	2.014
717	760	38	0.9531	-26.017
110	113	38	0.9493	0.000
110	728	38	0.9388	15.995
112	582	38	0.9257	-28.028
106	721	38	0.9377	-0.000
225	283	38	0.9319	56.060
106	275	38	0.9275	-0.002
486	717	38	0.9335	-26.015
225	503	38	0.9251	56.061
112	187	38	0.9275	-0.002
81	243	38	0.9581	28.978
108	222	38	0.9453	-28.030
110	222	38	0.9453	-28.030
113	721	38	0.9478	-0.001
15	174	39	0.691	-15.995
182	612	41	0.851	14.015
182	611	41	0.8393	14.015
30	84	42	0.716	-28.031
30	480	42	0.6995	-1.746
580	759	47	0.8093	0.000
467	580	47	0.7848	-130.062
467	759	47	0.7685	-130.062
459	461	49	0.7605	-58.042
456	459	49	1.0	-0.000
456	461	49	0.7605	-58.042
14	117	50	0.7998	-0.000
117	692	50	0.7565	-0.001
14	692	50	0.8105	-0.001
547	698	51	1.0	-0.001
224	490	53	0.7587	-0.000
490	586	53	0.7199	0.000
224	586	53	0.737	-0.000
124	481	54	0.8443	-0.000
210	477	54	0.8408	-0.001
124	210	54	0.8135	0.000
63	183	56	0.6576	21.006
66	251	57	0.9171	0.000
66	134	57	0.8564	0.000
134	251	57	0.867	0.000
745	746	58	0.8542	-14.014
141	248	59	1.0	-0.000
438	766	61	1.0	-0.000
45	358	63	0.8566	0.000
45	180	63	0.8259	-17.026
180	358	63	0.8751	17.027
350	389	66	1.0	0.000
34	80	68	0.7838	-59.038
80	111	68	0.7338	-64.043
333	520	71	0.9488	26.020
781	784	74	0.7068	28.031
784	787	74	0.683	-44.025
780	781	74	0.6574	44.027
780	782	74	0.6836	-28.031
280	285	75	1.0	0.000
381	524	76	0.692	-32.026
42	561	77	0.8221	-0.000
42	663	77	0.8442	-0.000
54	561	77	0.9264	-0.000
48	561	77	0.8936	-0.000
54	768	77	0.9149	0.000
42	768	77	0.8613	-0.000
42	54	77	0.8405	-0.000
42	403	77	0.8156	-0.000
54	663	77	0.9219	-0.000
48	403	77	0.9017	-0.000
48	663	77	0.8849	-0.000
663	768	77	0.8905	0.000
48	54	77	0.8877	-0.000
42	48	77	0.8013	0.000
403	663	77	0.904	-0.000
403	561	77	0.8336	-0.000
54	403	77	0.8771	0.000
561	768	77	0.8955	0.000
403	768	77	0.8809	0.000
48	768	77	0.9369	-0.000
561	663	77	0.8792	0.000
207	278	78	0.8827	-0.001
207	213	78	0.8827	-0.001
213	278	78	1.0	0.000
204	509	79	1.0	0.000
457	776	85	1.0	0.000
718	719	87	0.7413	0.001
388	621	88	0.7417	2.016
282	583	89	0.9385	25.071
603	609	94	0.9865	32.025
645	659	99	0.7049	-0.001
184	230	107	0.8761	-31.990
521	690	112	0.9651	-2.017
521	548	112	0.9659	-2.016
92	201	115	1.0	0.000
11	13	116	0.8445	0.001
