	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
s2_BE6_01_51119.mzXML Peak area	0.0	4.166796748954873	3.4164051681732177	0.5133171728505237	0.6992026652420836	2.1507597216766143	0.6824888890219638	0.9832365782706638	0.9253501668176257	0.6991124798307372	0.8024600641411687	2.429909336417191	0.3011655627049753	1.7046158104266003	0.6794586973103314	2.598834530217951	0.3414071191784317	0.5543280819159913	1.2676563322342063	1.5479112310098795	0.9983130997238127	1.909454811400014	0.8459646845952944	0.5712167981077583	0.22670310436886265	0.630347945234805	2.3265534885881443	2.699478176713406	0.7059640665712926	2.2958509063141124	0.9553370742990446	0.3662475766192654	0.33527947066634933	0.42282222971494254	1.6037167839681783	2.8419114107883354	0.47040970794013937	0.3157754573460319	1.1258593461662874	0.7068971719119516
s97_BG2_01_51481.mzXML Peak area	4.166796748954873	0.0	1.6018444486004995	4.653039825679538	4.856549747503541	3.7799413699656452	4.710838140288924	3.7375026518474974	5.090629537011961	4.084200102470975	3.5832269035637947	4.18925883997603	4.318814139458829	4.353524616517912	4.466207297760216	3.689501063527602	4.35889994285933	4.340861214544241	4.302406445249437	4.086407646338897	3.7801067324930084	4.2902755965023704	4.814720933605117	3.900996932655584	4.171449822376196	4.653202252805829	3.1937522780055083	4.2905532384442155	3.8323441225162838	2.1794150013218827	3.7940773526749227	4.513091491374364	3.853434369289683	4.571832175437966	4.749742387874344	4.078207222527449	4.630077297891771	4.445163921142923	4.459655263512201	4.671894768337776
s98_BG3_01_51483.mzXML Peak area	3.4164051681732177	1.6018444486004995	0.0	3.8323974677467714	4.052778166611019	3.9116232941431335	4.069775783252417	3.369838604321023	4.303848852065043	3.6035976978820847	3.094694850471369	4.368864752663702	3.4656672691458663	4.211617361681804	3.9148683041593153	4.01723012826693	3.50952986946477	3.7628383362680444	4.01460574995221	2.819715292104871	2.7168665962753153	4.2516750949509685	4.210134785423018	3.3664784386604873	3.5048975130209503	3.9995429402014397	3.454176156138164	4.553067427925223	2.8764038702573513	1.1807394839540575	3.424338496371715	3.7667516116254824	3.0956929020150805	3.820413279509182	4.492632360599861	4.435506096780807	3.8499962564471186	3.729661759611758	4.087359190593667	4.062705119861475
s46_BE11_01_51127.mzXML Peak area	0.5133171728505237	4.653039825679538	3.8323974677467714	0.0	0.22137929030526568	2.511304067671552	0.5706189907425435	1.408830502434858	0.48341946665312147	1.0362340494752098	1.292029303540501	2.723873793541622	0.38357682755901057	1.9090949297813815	0.8088112449896487	2.9702791707434613	0.32625227601169327	0.7760721042804323	1.4953653008385601	1.621809360859206	1.2236356898957024	2.163307883597778	0.7127237284557661	1.0066055572116541	0.6107072209790855	0.5111073206095694	2.7608365756254565	2.9892575770161582	1.0025506917653528	2.7361507903824203	1.3522855322625793	0.24630686904479027	0.8247787180991106	0.21441245238909418	1.698773698213535	3.168905487687545	0.1285867675088392	0.36883088968929767	1.2876411858476933	0.666754215318498
s45_BA7_01_51160.mzXML Peak area	0.6992026652420836	4.856549747503541	4.052778166611019	0.22137929030526568	0.0	2.5668123219438654	0.5136757868563459	1.5128654102948749	0.2680429954247284	1.114914779093326	1.4382509152880785	2.7457633832585695	0.5978592463199743	1.913986975396374	0.8188815062773702	3.0310742165612963	0.5474532242170292	0.8269141765383806	1.5079830816920272	1.804486999403092	1.4379682620166254	2.172735156064464	0.6223986815328475	1.1311174690025951	0.7492282667972686	0.48280647311647445	2.8588403546370698	3.0062300434210236	1.217972678819935	2.9523911947330266	1.4515164043857878	0.3642403156482874	1.023442308641144	0.3076152340557576	1.6502817697772907	3.2035196250463134	0.23105826637704002	0.47192184456783765	1.2792511618235995	0.6227718450743017
s50_BG5_01_51487.mzXML Peak area	2.1507597216766143	3.7799413699656452	3.9116232941431335	2.511304067671552	2.5668123219438654	0.0	2.092680991116685	1.1944839630754314	2.6456919652558413	1.4814898247573136	1.4904252818723116	0.4844332619820362	2.451192220494469	0.9815970363475193	1.7644148984356363	0.48406978857359406	2.469045130858682	1.778811406679197	1.1121229818493126	3.4888158898898465	2.8464244989715977	0.6395240476947041	2.068701347338463	1.5842914035976847	1.9486602053513786	2.114104871896869	0.6113760526171248	0.6908103535394001	2.581005615517942	2.963923970477894	1.2081099250197473	2.265049964318085	2.10620094785225	2.3024918718238725	1.3323581290916298	0.7186998003999013	2.3963143340776	2.153691630878261	1.3656400562400142	1.993421383697372
s51_BD5_01_51093.mzXML Peak area	0.6824888890219638	4.710838140288924	4.069775783252417	0.5706189907425435	0.5136757868563459	2.092680991116685	0.0	1.1333618936061	0.5553446285605951	0.7139555328357778	1.1637003038680598	2.2481662307962864	0.7976704241375846	1.4384842761459837	0.3453041592149782	2.5613913933875514	0.7753729019926052	0.4358292675404377	1.0115832209643028	2.134830216977854	1.6515053420231145	1.671208306971526	0.17822850537594762	0.8270646461353676	0.5663447808755026	0.1718486293899119	2.4359411771481034	2.505131065101254	1.3716173708838462	2.9440517758694433	1.0659952568190567	0.4072353589962054	0.991234111679167	0.39007290812683293	1.1540458958232556	2.7113621494887465	0.44752482042981123	0.37744337354733226	0.7742581360401438	0.12149311994142394
s59_BE8_01_51271.mzXML Peak area	0.9832365782706638	3.7375026518474974	3.369838604321023	1.408830502434858	1.5128654102948749	1.1944839630754314	1.1333618936061	0.0	1.6483852459184165	0.42387212534330715	0.34795177797220356	1.5391426120205196	1.280377065614081	1.0828157867996282	0.8078566869362185	1.640787155956528	1.3171652696043585	0.729116143872321	0.6870012924084642	2.3293869284321587	1.698742261298218	1.1131288527471348	1.195370154151048	0.4167974936271228	0.805951498686825	1.1420756766734204	1.3689143354512303	1.802784734463791	1.407896132566767	2.2618174499396764	0.22589865145843055	1.1720698142289723	0.9200952369421526	1.2202291661815132	1.1799295763016937	1.9059454357054357	1.3076603434333378	1.0510031537925741	0.7718135140142093	1.0504782621366564
s58_BD10_01_51248.mzXML Peak area	0.9253501668176257	5.090629537011961	4.303848852065043	0.48341946665312147	0.2680429954247284	2.6456919652558413	0.5553446285605951	1.6483852459184165	0.0	1.240169881950477	1.6145566010595325	2.7910547877225977	0.8413453296110364	1.965280826106923	0.887493652854093	3.1160416671691955	0.808215349537092	0.9276298453778901	1.5601064937792921	2.020588724098175	1.6851628208115164	2.2102299904193665	0.6133989568995445	1.2978034749806513	0.9419029973787303	0.5842728108597192	2.981087373200948	3.0436153606434737	1.4572240710122206	3.191447092982636	1.5943455820431252	0.5835648347723418	1.2503755233012361	0.5261549435371391	1.6361690735032441	3.258711884827578	0.4677723504037173	0.6566051365033178	1.3149109207696814	0.6529213190723375
s66_BC11_01_51220.mzXML Peak area	0.6991124798307372	4.084200102470975	3.6035976978820847	1.0362340494752098	1.114914779093326	1.4814898247573136	0.7139555328357778	0.42387212534330715	1.240169881950477	0.0	0.5353705152923491	1.7373680699352079	0.990723991115443	1.0680825931812739	0.39952413060295233	1.9444235067456006	1.0079344562723886	0.34523390267211634	0.5961428498275056	2.1991355439028126	1.593999620448129	1.2162324494100611	0.7771639566828146	0.25231374116205313	0.4802028399357281	0.7205927620274691	1.7472026836487284	2.0055848772815787	1.2920621025171206	2.4820656714406386	0.36938732823743464	0.7915546518790435	0.7815398055628741	0.8330988914763429	1.0167927179918665	2.158967001739892	0.9246030860434808	0.6749954335160989	0.5298410371864535	0.637141871588546
s71_BC3_01_51063.mzXML Peak area	0.8024600641411687	3.5832269035637947	3.094694850471369	1.292029303540501	1.4382509152880785	1.4904252818723116	1.1637003038680598	0.34795177797220356	1.6145566010595325	0.5353705152923491	0.0	1.863104961180497	1.0805413359367928	1.3844579044235328	0.893538762813429	1.9090722039891568	1.1301608813655373	0.7617481706294781	0.9920519915941634	2.006753445250352	1.373727355241871	1.4539965562847375	1.2676713446856622	0.34364506432416364	0.6913033571582966	1.1503534559508217	1.5616895887800557	2.1250335455691594	1.0932878842689708	1.9682927335411249	0.4412273929066131	1.0803695045630461	0.6413693237785177	1.1361880007336693	1.474038583264453	2.206503490014491	1.213612511637802	0.9685382398499093	1.0231152714660252	1.1053517319271915
s70_BC2_01_51061.mzXML Peak area	2.429909336417191	4.18925883997603	4.368864752663702	2.723873793541622	2.7457633832585695	0.4844332619820362	2.2481662307962864	1.5391426120205196	2.7910547877225977	1.7373680699352079	1.863104961180497	0.0	2.7250272951413863	0.9468955031538909	1.9488245177721142	0.5802556241400525	2.7284408718762707	2.004993128721311	1.2382424266277325	3.8479875531101753	3.2061902008708416	0.5838413992806265	2.186895386792435	1.8883624816898044	2.212907380986963	2.2738016514546864	1.0170366289562904	0.271105869262534	2.9348937472670875	3.4312578650151213	1.513978907815698	2.48106686888145	2.439626907928743	2.5099817514770693	1.2726701069880801	0.48498809726729536	2.603513679787019	2.380055896349077	1.476700349464365	2.150803463450215
s75_BE11_01_51277.mzXML Peak area	0.3011655627049753	4.318814139458829	3.4656672691458663	0.38357682755901057	0.5978592463199743	2.451192220494469	0.7976704241375846	1.280377065614081	0.8413453296110364	0.990723991115443	1.0805413359367928	2.7250272951413863	0.0	1.9776657347788265	0.9004741990462	2.899987825813209	0.14202634498317446	0.7935532098031339	1.5436826223916822	1.340433696236295	0.8762586669827264	2.196062892694691	0.9658596352713072	0.8713101244289081	0.5122700810154991	0.7435094464315731	2.621377327839396	2.994267844252636	0.6241492390252004	2.3622824556376396	1.2561871371225108	0.4062145485620464	0.5029803606010901	0.4364839771128206	1.8431696210959747	3.1412072733879266	0.41945983547394017	0.4387723965168822	1.3799630652052877	0.8542336545966634
s76_BA12_01_51031.mzXML Peak area	1.7046158104266003	4.353524616517912	4.211617361681804	1.9090949297813815	1.913986975396374	0.9815970363475193	1.4384842761459837	1.0828157867996282	1.965280826106923	1.0680825931812739	1.3844579044235328	0.9468955031538909	1.9776657347788265	0.0	1.1989206331786368	1.3434172550129906	1.9491997180665677	1.3017967584117704	0.5390736553154429	3.1839521636211865	2.5623305974334967	0.4590661734786582	1.3552203911567244	1.2600523786900595	1.4852585270141108	1.4312833187813712	1.4725392051281534	1.1893894990832568	2.3015446611805865	3.200448740295187	0.9451556145461952	1.6791671935737027	1.8012182834710173	1.7002980955591518	0.5312327908605661	1.410438749176283	1.793885834442012	1.6077678883280546	0.7141016455098497	1.365358366213218
s80_BC12_01_51222.mzXML Peak area	0.6794586973103314	4.466207297760216	3.9148683041593153	0.8088112449896487	0.8188815062773702	1.7644148984356363	0.3453041592149782	0.8078566869362185	0.887493652854093	0.39952413060295233	0.893538762813429	1.9488245177721142	0.9004741990462	1.1989206331786368	0.0	2.2373789115902647	0.9056744858416089	0.18438728274520058	0.7185214093518018	2.2201938973573694	1.6742585449092315	1.3832471584457566	0.4013271222001734	0.5691968648211606	0.48008755549487436	0.41428500437411636	2.100631360950062	2.209175357760046	1.368910640363288	2.7811173278003682	0.7568647051313815	0.5819636305263991	0.9062645686514291	0.5996101062340946	0.9695615634103071	2.4013661858107107	0.6814575659643931	0.4775355702915573	0.511674666495335	0.24658761096966095
s81_BB3_01_51177.mzXML Peak area	2.598834530217951	3.689501063527602	4.01723012826693	2.9702791707434613	3.0310742165612963	0.48406978857359406	2.5613913933875514	1.640787155956528	3.1160416671691955	1.9444235067456006	1.9090722039891568	0.5802556241400525	2.899987825813209	1.3434172550129906	2.2373789115902647	0.0	2.913758059477013	2.252414146313226	1.57243367047233	3.880602058859614	3.2361738576188372	1.0283410073353023	2.532823302003077	2.030999589395659	2.402454217142087	2.5734062979358483	0.5811180631263048	0.6048809882010545	2.990839960090934	3.1676482569664413	1.6458825071161922	2.724192650969632	2.533868878890661	2.7628318260203115	1.7421250675086437	0.4183002262778991	2.8580458907967974	2.6170478709356164	1.8274454495892833	2.4655976913220536
s85_BB10_01_51052.mzXML Peak area	0.3414071191784317	4.35889994285933	3.50952986946477	0.32625227601169327	0.5474532242170292	2.469045130858682	0.7753729019926052	1.3171652696043585	0.808215349537092	1.0079344562723886	1.1301608813655373	2.7284408718762707	0.14202634498317446	1.9491997180665677	0.9056744858416089	2.913758059477013	0.0	0.8216748081219388	1.540132726951214	1.373041339271545	0.9146323073704954	2.1945390787116796	0.9319050125766748	0.9012265658945113	0.5308444227179241	0.6943535310971009	2.6491155253240644	2.9982833419224226	0.6976557070387122	2.4233686893996156	1.2686247435295366	0.3682932223989938	0.5726273037497228	0.3935498694128404	1.8200632296501642	3.150161252639065	0.377872596824133	0.4397615892615061	1.3709923388020038	0.8460668354233826
s5_BC6_01_51069.mzXML Peak area	0.5543280819159913	4.340861214544241	3.7628383362680444	0.7760721042804323	0.8269141765383806	1.778811406679197	0.4358292675404377	0.729116143872321	0.9276298453778901	0.34523390267211634	0.7617481706294781	2.004993128721311	0.7935532098031339	1.3017967584117704	0.18438728274520058	2.252414146313226	0.8216748081219388	0.0	0.8026162744321046	2.08580043638881	1.5330836258361764	1.4572514696963181	0.5440207096879776	0.4491559129903262	0.357842431458381	0.49373423853621295	2.069959728672005	2.26789303568554	1.2170584163328677	2.6200069641815866	0.7132415398438127	0.545634445748706	0.74984545967426	0.5763723748048405	1.1157066391233512	2.4419292754507147	0.6556177412087874	0.4140990562714188	0.635053164063626	0.3565541441007095
s6_BD3_01_51232.mzXML Peak area	1.2676563322342063	4.302406445249437	4.01460574995221	1.4953653008385601	1.5079830816920272	1.1121229818493126	1.0115832209643028	0.6870012924084642	1.5601064937792921	0.5961428498275056	0.9920519915941634	1.2382424266277325	1.5436826223916822	0.5390736553154429	0.7185214093518018	1.57243367047233	1.540132726951214	0.8026162744321046	0.0	2.7873042728030373	2.1782752318737284	0.6688628465920602	0.9639636835363856	0.8233769430657458	1.0411599723122795	1.0399925714722276	1.5505610850472722	1.498817915611017	1.8852013623427426	2.9298418392028194	0.5963460358726718	1.2569135092964356	1.3744920176403845	1.2809862114528838	0.49427231461926513	1.7007758227797898	1.372461401900273	1.1606990785629316	0.25555355703759314	0.917078442045658
