	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
s100_rerun_BA6_01_51158.mzXML Peak area	1.5479112310098795	4.086407646338897	2.819715292104871	1.621809360859206	1.804486999403092	3.4888158898898465	2.134830216977854	2.3293869284321587	2.020588724098175	2.1991355439028126	2.006753445250352	3.8479875531101753	1.340433696236295	3.1839521636211865	2.2201938973573694	3.880602058859614	1.373041339271545	2.08580043638881	2.7873042728030373	0.0	0.6484002509690876	3.387646865064546	2.2989533938036613	1.9908002478729885	1.7685928391840962	2.06721730343667	3.464770846449265	4.115020277806412	0.9246822062148832	1.953571501651782	2.339349982354077	1.7347304716593668	1.4293638495606171	1.7562530001817196	3.1456871243715434	4.198812170897597	1.715329517931945	1.7779779220022303	2.6695678307145516	2.1941798479532246
s101_BA9_01_51025.mzXML Peak area	0.9983130997238127	3.7801067324930084	2.7168665962753153	1.2236356898957024	1.4379682620166254	2.8464244989715977	1.6515053420231145	1.698742261298218	1.6851628208115164	1.593999620448129	1.373727355241871	3.2061902008708416	0.8762586669827264	2.5623305974334967	1.6742585449092315	3.2361738576188372	0.9146323073704954	1.5330836258361764	2.1782752318737284	0.6484002509690876	0.0	2.7577662085010517	1.8151703257654404	1.372007724811213	1.1999573818018658	1.5769661550858274	2.831648750892444	3.4727574738025844	0.3425533682052923	1.6999887601951775	1.7024026623012154	1.259905299024989	0.8216706405266866	1.2966549053627112	2.5632521013786547	3.5537919495502033	1.2852861578043009	1.2779434135110372	2.084142866720552	1.694546757786978
s88_BD7_01_51242.mzXML Peak area	1.909454811400014	4.2902755965023704	4.2516750949509685	2.163307883597778	2.172735156064464	0.6395240476947041	1.671208306971526	1.1131288527471348	2.2102299904193665	1.2162324494100611	1.4539965562847375	0.5838413992806265	2.196062892694691	0.4590661734786582	1.3832471584457566	1.0283410073353023	2.1945390787116796	1.4572514696963181	0.6688628465920602	3.387646865064546	2.7577662085010517	0.0	1.6044557209310746	1.402232118847042	1.6859372928990644	1.7005593628739808	1.2212103770496583	0.8353117596804793	2.4740407203338175	3.2336885157006443	1.0611006909320013	1.9241055824607507	1.9655217104744038	1.9489878403133105	0.7177826173459104	1.0635423622316948	2.0409788250259164	1.8270144826432784	0.8973216622385447	1.5750641140130828
s89_BD11_01_51250.mzXML Peak area	0.8459646845952944	4.814720933605117	4.210134785423018	0.7127237284557661	0.6223986815328475	2.068701347338463	0.17822850537594762	1.195370154151048	0.6133989568995445	0.7771639566828146	1.2676713446856622	2.186895386792435	0.9658596352713072	1.3552203911567244	0.4013271222001734	2.532823302003077	0.9319050125766748	0.5440207096879776	0.9639636835363856	2.2989533938036613	1.8151703257654404	1.6044557209310746	0.0	0.9281339202704619	0.7126966003210593	0.2562312663851546	2.4475575441279913	2.4385377635517833	1.5408704423682555	3.090208366759746	1.110964631786533	0.5655611529981205	1.1496406166371413	0.5440161050279947	1.0348142632887307	2.6588929272134534	0.5976241960689535	0.5486767947744714	0.7138831684668883	0.20403134609351928
s93_BE3_01_51259.mzXML Peak area	0.5712167981077583	3.900996932655584	3.3664784386604873	1.0066055572116541	1.1311174690025951	1.5842914035976847	0.8270646461353676	0.4167974936271228	1.2978034749806513	0.25231374116205313	0.34364506432416364	1.8883624816898044	0.8713101244289081	1.2600523786900595	0.5691968648211606	2.030999589395659	0.9012265658945113	0.4491559129903262	0.8233769430657458	1.9908002478729885	1.372007724811213	1.402232118847042	0.9281339202704619	0.0	0.3969112264156051	0.8094790137414534	1.7651247266343981	2.157293977019152	1.0745499879642209	2.2414482234284954	0.39931345336716173	0.7764772191747913	0.5638236535517879	0.8289559002951412	1.2614580413510819	2.283338191664356	0.9144082436178022	0.6634836157782825	0.7796202056378108	0.7734589234308107
s10_BE10_01_51275.mzXML Peak area	0.22670310436886265	4.171449822376196	3.5048975130209503	0.6107072209790855	0.7492282667972686	1.9486602053513786	0.5663447808755026	0.805951498686825	0.9419029973787303	0.4802028399357281	0.6913033571582966	2.212907380986963	0.5122700810154991	1.4852585270141108	0.48008755549487436	2.402454217142087	0.5308444227179241	0.357842431458381	1.0411599723122795	1.7685928391840962	1.1999573818018658	1.6859372928990644	0.7126966003210593	0.3969112264156051	0.0	0.5260875882563321	2.159174912046694	2.4820779363556587	0.9027483659724506	2.3794802937880606	0.7645683990983715	0.3891704974610716	0.44610892270771624	0.4450836883074706	1.383665570763493	2.6323581815059436	0.5247500608900557	0.28661791614994797	0.9020405347240245	0.5624532439816137
s11_BA10_01_51166.mzXML Peak area	0.630347945234805	4.653202252805829	3.9995429402014397	0.5111073206095694	0.48280647311647445	2.114104871896869	0.1718486293899119	1.1420756766734204	0.5842728108597192	0.7205927620274691	1.1503534559508217	2.2738016514546864	0.7435094464315731	1.4312833187813712	0.41428500437411636	2.5734062979358483	0.6943535310971009	0.49373423853621295	1.0399925714722276	2.06721730343667	1.5769661550858274	1.7005593628739808	0.2562312663851546	0.8094790137414534	0.5260875882563321	0.0	2.4388073328498567	2.534210550312272	1.3167480711765027	2.8916348456974017	1.0483179320301224	0.33931999263850027	0.9460322469839839	0.32491855185709545	1.1931141160665144	2.7347563869550915	0.3969107932408503	0.3504618543078514	0.8137435543669622	0.2654347811802479
s15_BA3_01_51149.mzXML Peak area	2.3265534885881443	3.1937522780055083	3.454176156138164	2.7608365756254565	2.8588403546370698	0.6113760526171248	2.4359411771481034	1.3689143354512303	2.981087373200948	1.7472026836487284	1.5616895887800557	1.0170366289562904	2.621377327839396	1.4725392051281534	2.100631360950062	0.5811180631263048	2.6491155253240644	2.069959728672005	1.5505610850472722	3.464770846449265	2.831648750892444	1.2212103770496583	2.4475575441279913	1.7651247266343981	2.159174912046694	2.4388073328498567	0.0	1.1372745825342923	2.6061206736923945	2.6032081816468198	1.4126203052217312	2.520629902401196	2.195842255548868	2.5675350595460795	1.8677061228166398	0.992750479034245	2.659809798116963	2.4086925635219205	1.7947318087068476	2.3446357215997993
s16_BD2_01_51227.mzXML Peak area	2.699478176713406	4.2905532384442155	4.553067427925223	2.9892575770161582	3.0062300434210236	0.6908103535394001	2.505131065101254	1.802784734463791	3.0436153606434737	2.0055848772815787	2.1250335455691594	0.271105869262534	2.994267844252636	1.1893894990832568	2.209175357760046	0.6048809882010545	2.9982833419224226	2.26789303568554	1.498817915611017	4.115020277806412	3.4727574738025844	0.8353117596804793	2.4385377635517833	2.157293977019152	2.4820779363556587	2.534210550312272	1.1372745825342923	0.0	3.2016743877561846	3.642665795187473	1.7834703048333127	2.7471815668003705	2.7077120584706873	2.7751073939733693	1.4936080016980409	0.31307556780946033	2.8680695470374498	2.6459804925234804	1.7318575541459076	2.406829330330038
s110_rerun_BB12_01_51140.mzXML Peak area	0.7059640665712926	3.8323441225162838	2.8764038702573513	1.0025506917653528	1.217972678819935	2.581005615517942	1.3716173708838462	1.407896132566767	1.4572240710122206	1.2920621025171206	1.0932878842689708	2.9348937472670875	0.6241492390252004	2.3015446611805865	1.368910640363288	2.990839960090934	0.6976557070387122	1.2170584163328677	1.8852013623427426	0.9246822062148832	0.3425533682052923	2.4740407203338175	1.5408704423682555	1.0745499879642209	0.9027483659724506	1.3167480711765027	2.6061206736923945	3.2016743877561846	0.0	1.784788613424672	1.4283755757627083	1.0018257571415248	0.5119692897436031	1.0437896607251234	2.2751924274544244	3.293945432327949	1.0412818208896426	0.9941813879555687	1.7876512510467848	1.4015196385791886
s111_BC11_01_51081.mzXML Peak area	2.2958509063141124	2.1794150013218827	1.1807394839540575	2.7361507903824203	2.9523911947330266	2.963923970477894	2.9440517758694433	2.2618174499396764	3.191447092982636	2.4820656714406386	1.9682927335411249	3.4312578650151213	2.3622824556376396	3.200448740295187	2.7811173278003682	3.1676482569664413	2.4233686893996156	2.6200069641815866	2.9298418392028194	1.953571501651782	1.6999887601951775	3.2336885157006443	3.090208366759746	2.2414482234284954	2.3794802937880606	2.8916348456974017	2.6032081816468198	3.642665795187473	1.784788613424672	0.0	2.3391479093429877	2.6567250540646037	1.9651538152534451	2.7115399461924365	3.4163033694501417	3.575250707759828	2.7426992975678686	2.6052285626695304	2.983824290050354	2.929481851955415
s20_BD8_01_51244.mzXML Peak area	0.9553370742990446	3.7940773526749227	3.424338496371715	1.3522855322625793	1.4515164043857878	1.2081099250197473	1.0659952568190567	0.22589865145843055	1.5943455820431252	0.36938732823743464	0.4412273929066131	1.513978907815698	1.2561871371225108	0.9451556145461952	0.7568647051313815	1.6458825071161922	1.2686247435295366	0.7132415398438127	0.5963460358726718	2.339349982354077	1.7024026623012154	1.0611006909320013	1.110964631786533	0.39931345336716173	0.7645683990983715	1.0483179320301224	1.4126203052217312	1.7834703048333127	1.4283755757627083	2.3391479093429877	0.0	1.1108942002057713	0.9319080116693156	1.1574880749011596	1.077263847129449	1.900599520144429	1.251167301020864	1.006230327950874	0.6778419361126503	0.9942798158822274
s21_BA9_01_51164.mzXML Peak area	0.3662475766192654	4.513091491374364	3.7667516116254824	0.24630686904479027	0.3642403156482874	2.265049964318085	0.4072353589962054	1.1720698142289723	0.5835648347723418	0.7915546518790435	1.0803695045630461	2.48106686888145	0.4062145485620464	1.6791671935737027	0.5819636305263991	2.724192650969632	0.3682932223989938	0.545634445748706	1.2569135092964356	1.7347304716593668	1.259905299024989	1.9241055824607507	0.5655611529981205	0.7764772191747913	0.3891704974610716	0.33931999263850027	2.520629902401196	2.7471815668003705	1.0018257571415248	2.6567250540646037	1.1108942002057713	0.0	0.7014344485207349	0.0592101736311808	1.4891053806068784	2.923819190293651	0.14306056236963344	0.14341238733222525	1.0584133793337145	0.4836915113023368
s26_BC9_01_51076.mzXML Peak area	0.33527947066634933	3.853434369289683	3.0956929020150805	0.8247787180991106	1.023442308641144	2.10620094785225	0.991234111679167	0.9200952369421526	1.2503755233012361	0.7815398055628741	0.6413693237785177	2.439626907928743	0.5029803606010901	1.8012182834710173	0.9062645686514291	2.533868878890661	0.5726273037497228	0.74984545967426	1.3744920176403845	1.4293638495606171	0.8216706405266866	1.9655217104744038	1.1496406166371413	0.5638236535517879	0.44610892270771624	0.9460322469839839	2.195842255548868	2.7077120584706873	0.5119692897436031	1.9651538152534451	0.9319080116693156	0.7014344485207349	0.0	0.7576977811513398	1.776837792615479	2.815665862148836	0.7992691951919113	0.6402534258515917	1.2872219721547986	0.9937833652127509
s25_BE7_01_51121.mzXML Peak area	0.42282222971494254	4.571832175437966	3.820413279509182	0.21441245238909418	0.3076152340557576	2.3024918718238725	0.39007290812683293	1.2202291661815132	0.5261549435371391	0.8330988914763429	1.1361880007336693	2.5099817514770693	0.4364839771128206	1.7002980955591518	0.5996101062340946	2.7628318260203115	0.3935498694128404	0.5763723748048405	1.2809862114528838	1.7562530001817196	1.2966549053627112	1.9489878403133105	0.5440161050279947	0.8289559002951412	0.4450836883074706	0.32491855185709545	2.5675350595460795	2.7751073939733693	1.0437896607251234	2.7115399461924365	1.1574880749011596	0.0592101736311808	0.7576977811513398	0.0	1.495219023185813	2.956334389207495	0.09817630534623797	0.18475108646905977	1.0750922008597792	0.47704669647826614
s30_BB2_01_51174.mzXML Peak area	1.6037167839681783	4.749742387874344	4.492632360599861	1.698773698213535	1.6502817697772907	1.3323581290916298	1.1540458958232556	1.1799295763016937	1.6361690735032441	1.0167927179918665	1.474038583264453	1.2726701069880801	1.8431696210959747	0.5312327908605661	0.9695615634103071	1.7421250675086437	1.8200632296501642	1.1157066391233512	0.49427231461926513	3.1456871243715434	2.5632521013786547	0.7177826173459104	1.0348142632887307	1.2614580413510819	1.383665570763493	1.1931141160665144	1.8677061228166398	1.4936080016980409	2.2751924274544244	3.4163033694501417	1.077263847129449	1.4891053806068784	1.776837792615479	1.495219023185813	0.0	1.7574289419267428	1.5763687029774769	1.4201532197646123	0.49514202889427	1.074401472679549
s31_BC2_01_51201.mzXML Peak area	2.8419114107883354	4.078207222527449	4.435506096780807	3.168905487687545	3.2035196250463134	0.7186998003999013	2.7113621494887465	1.9059454357054357	3.258711884827578	2.158967001739892	2.206503490014491	0.48498809726729536	3.1412072733879266	1.410438749176283	2.4013661858107107	0.4183002262778991	3.150161252639065	2.4419292754507147	1.7007758227797898	4.198812170897597	3.5537919495502033	1.0635423622316948	2.6588929272134534	2.283338191664356	2.6323581815059436	2.7347563869550915	0.992750479034245	0.31307556780946033	3.293945432327949	3.575250707759828	1.900599520144429	2.923819190293651	2.815665862148836	2.956334389207495	1.7574289419267428	0.0	3.0506316573070023	2.818984946576025	1.9458047264999003	2.6127627891128187
s35_BA7_01_51021.mzXML Peak area	0.47040970794013937	4.630077297891771	3.8499962564471186	0.1285867675088392	0.23105826637704002	2.3963143340776	0.44752482042981123	1.3076603434333378	0.4677723504037173	0.9246030860434808	1.213612511637802	2.603513679787019	0.41945983547394017	1.793885834442012	0.6814575659643931	2.8580458907967974	0.377872596824133	0.6556177412087874	1.372461401900273	1.715329517931945	1.2852861578043009	2.0409788250259164	0.5976241960689535	0.9144082436178022	0.5247500608900557	0.3969107932408503	2.659809798116963	2.8680695470374498	1.0412818208896426	2.7426992975678686	1.251167301020864	0.14306056236963344	0.7992691951919113	0.09817630534623797	1.5763687029774769	3.0506316573070023	0.0	0.2595451820342963	1.162502207005535	0.5399981817930002
s36_BD4_01_51234.mzXML Peak area	0.3157754573460319	4.445163921142923	3.729661759611758	0.36883088968929767	0.47192184456783765	2.153691630878261	0.37744337354733226	1.0510031537925741	0.6566051365033178	0.6749954335160989	0.9685382398499093	2.380055896349077	0.4387723965168822	1.6077678883280546	0.4775355702915573	2.6170478709356164	0.4397615892615061	0.4140990562714188	1.1606990785629316	1.7779779220022303	1.2779434135110372	1.8270144826432784	0.5486767947744714	0.6634836157782825	0.28661791614994797	0.3504618543078514	2.4086925635219205	2.6459804925234804	0.9941813879555687	2.6052285626695304	1.006230327950874	0.14341238733222525	0.6402534258515917	0.18475108646905977	1.4201532197646123	2.818984946576025	0.2595451820342963	0.0	0.9699085787682584	0.4200650399320972
s41_BD7_01_51097.mzXML Peak area	1.1258593461662874	4.459655263512201	4.087359190593667	1.2876411858476933	1.2792511618235995	1.3656400562400142	0.7742581360401438	0.7718135140142093	1.3149109207696814	0.5298410371864535	1.0231152714660252	1.476700349464365	1.3799630652052877	0.7141016455098497	0.511674666495335	1.8274454495892833	1.3709923388020038	0.635053164063626	0.25555355703759314	2.6695678307145516	2.084142866720552	0.8973216622385447	0.7138831684668883	0.7796202056378108	0.9020405347240245	0.8137435543669622	1.7947318087068476	1.7318575541459076	1.7876512510467848	2.983824290050354	0.6778419361126503	1.0584133793337145	1.2872219721547986	1.0750922008597792	0.49514202889427	1.9458047264999003	1.162502207005535	0.9699085787682584	0.0	0.6808452610667751
s40_BE8_01_51123.mzXML Peak area	0.7068971719119516	4.671894768337776	4.062705119861475	0.666754215318498	0.6227718450743017	1.993421383697372	0.12149311994142394	1.0504782621366564	0.6529213190723375	0.637141871588546	1.1053517319271915	2.150803463450215	0.8542336545966634	1.365358366213218	0.24658761096966095	2.4655976913220536	0.8460668354233826	0.3565541441007095	0.917078442045658	2.1941798479532246	1.694546757786978	1.5750641140130828	0.20403134609351928	0.7734589234308107	0.5624532439816137	0.2654347811802479	2.3446357215997993	2.406829330330038	1.4015196385791886	2.929481851955415	0.9942798158822274	0.4836915113023368	0.9937833652127509	0.47704669647826614	1.074401472679549	2.6127627891128187	0.5399981817930002	0.4200650399320972	0.6808452610667751	0.0
