	s1_BD6_01_51095.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
s1_BD6_01_51095.mzXML Peak area	0.0	0.7484587825594801	1.3373388550557246	2.4183238074502014	1.405498835348816	2.2049274065375535	1.7096657090330867	1.6128100328430206	1.532633412605955	1.4617381960504263	2.502333864706358	1.7830530873915194	1.7298564336622906	1.616220071683543	3.10667415345851	1.3670732299713393	0.617518736464119	1.5362684704669485	2.1487158749666815	1.1628713818239185	2.5589434892751743	1.7844186308678982	2.1224298364108787	1.9375858646778097	1.6482255324173134	1.5454975651649396	1.9093803997927434	1.583001681902999	1.5457661317085274	0.9325849330442515	0.22156744435336143	1.2674777178098624	2.2874977429789687	1.9126588267232476	1.4888798387003583	1.0158011597724004	1.4578740892635822	2.3095524214503618	1.419683504397497	1.3653056777550594
s47_repeat_BB5_01_51298.mzXML Peak area	0.7484587825594801	0.0	0.9361096257602296	2.3845021718644825	0.733638638814342	2.3309155544391706	1.0529999839576543	1.1213636517546897	1.9324517176633105	0.8804420963907684	2.5511655495471475	2.504575539453299	2.1317528352228314	1.1861674099254778	3.281707428403693	1.1098295337046835	1.0403626504559123	0.9167768313918225	2.8028782774342584	1.6032482612708694	3.2574366823087626	1.359796251864925	1.9503057673369117	1.6906211369341844	1.2298953135759074	1.3400648816097391	1.1632218529095169	0.8434822964646326	2.063211937955014	1.6198196618469296	0.8299835427230849	0.5193196547187173	2.38938279104423	1.9669937153377626	0.8261094091519654	0.5890246554994144	0.9265219147085524	2.0743667954760814	0.7442548979259115	0.8943450652537176
s44_BC5_01_51067.mzXML Peak area	1.3373388550557246	0.9361096257602296	0.0	1.5586793447023104	0.5933726132370366	1.6343237911168382	0.8815758481857672	0.350773822415976	2.7951989208058405	0.467858811341272	1.7940073562328551	2.698242484548571	1.7871065071990901	0.3762266736543249	2.583759366258921	0.37762867711969766	1.8599835245587302	0.5405085327786379	2.787662686141296	1.444065943510894	3.331338207459872	0.5631012890917889	1.0619253985793484	0.7770040458395917	0.3969740783202869	0.5105624534828136	1.2969853892557706	1.1094443431550522	2.862494033335013	2.258976588785822	1.5230901198425724	0.9330855581319901	1.6725693595103805	1.2606249710631692	0.673868987414784	0.41789160755506666	0.33408003556651145	1.1762193487094277	1.377300995299703	0.21876361694586763
s49_repeat_BB12_01_51305.mzXML Peak area	2.4183238074502014	2.3845021718644825	1.5586793447023104	0.0	2.1317866880862875	0.5664546556123823	2.202115942499241	1.5905712007856472	3.928707594189624	1.8781257562509648	0.35628770932598414	2.8347527304571227	1.3877543474522103	1.457102577339525	1.1231118776502484	1.3171861344728004	3.027565338489545	1.9551956939747843	2.569285380147453	1.5900797429257894	3.123402115823919	1.3979865971038226	0.5557086793098384	0.8541152268954996	1.4134305591173346	1.0696484253856477	2.7521372968839684	2.608858626617404	3.888941390708386	3.124423273912551	2.6258324806644313	2.478020245679576	0.43534548975859044	0.5358776787285244	2.1180512841184664	1.831165436123672	1.7442005240575476	0.675628369974044	2.9011690275016977	1.6579598008549716
s52_BC9_01_51216.mzXML Peak area	1.405498835348816	0.733638638814342	0.5933726132370366	2.1317866880862875	0.0	2.2256776528227067	0.5898869455401431	0.605687987799043	2.6534691703676643	0.40099048830465445	2.375582780646431	3.030089014043728	2.3165103069178903	0.7451973930238082	3.1743196293844846	0.9083764345189831	1.7725797437035236	0.35151668982464906	3.21508281855093	1.9002917720789287	3.730614397467269	0.897836673759541	1.607920503119817	1.306502053934736	0.7861707473295232	1.090722480568409	0.7432825204180598	0.5715738713022227	2.7883325769208724	2.3221805729437723	1.5349022072918708	0.4328929422603488	2.265356915403808	1.8518743719940522	0.34089419955659095	0.5756926119542691	0.45067693289574856	1.6694113838298301	0.8767139545922307	0.5159011815940958
s60_BE12_01_51130.mzXML Peak area	2.2049274065375535	2.3309155544391706	1.6343237911168382	0.5664546556123823	2.2256776528227067	0.0	2.4019743101816773	1.7791607255436361	3.674544874857962	2.02791609053389	0.5551791544685891	2.3547715205649387	0.8948869095523609	1.6549719166557768	1.0311365789200835	1.408392598132621	2.815066666917872	2.1172766600781587	2.0516240884194854	1.2296886709737802	2.620804828862656	1.65773388707481	0.9043191827287586	1.1194555577701668	1.6202224351061616	1.1812661100188753	2.917833196273015	2.7282284352866717	3.584054760997411	2.801838398251841	2.4127987301141784	2.531606765703603	0.2305838860793882	0.46779433000968473	2.263573876544178	1.8515555352339172	1.890013550313683	1.1348512982773828	2.9501088682880607	1.773303894377802
s57_BA12_01_51170.mzXML Peak area	1.7096657090330867	1.0529999839576543	0.8815758481857672	2.202115942499241	0.5898869455401431	2.4019743101816773	0.0	0.6664683904897155	2.8784186328970973	0.4152767788503611	2.4205332938136137	3.313922530765421	2.5488568183320286	0.7630435046667453	3.244547307401358	1.0164646774848194	2.030538141259858	0.3540240424309526	3.4846446677824754	2.1318150857877116	3.9746925052766366	0.8134674006237075	1.6788109733793188	1.4000327270833868	0.8053282432503804	1.2236388751230374	0.6447117479094333	0.5419876606564574	3.0570705044546673	2.600296076694372	1.8109764921563578	0.6928393038866426	2.384968535116536	1.9719955102906508	0.2728964968429515	0.8121050882114139	0.5527789826792514	1.6501934682679884	0.9472386237051988	0.6802959910037011
s67b_BB6_01_51043.mzXML Peak area	1.6128100328430206	1.1213636517546897	0.350773822415976	1.5905712007856472	0.605687987799043	1.7791607255436361	0.6664683904897155	0.0	3.0213822813069795	0.3288107645493941	1.8399266142713455	2.9998799107817913	2.0338013805766026	0.16010220389155735	2.6615237366704494	0.49173381098571683	2.09704283436623	0.3737736575886772	3.074436822585052	1.7135591510290933	3.611965585403102	0.3009952190638446	1.0539670220127815	0.7584533352417161	0.19249625369463022	0.6125070466203297	1.1627270557545601	1.0355501405486598	3.119763277963066	2.538257882946917	1.7808093671656138	0.971929575981368	1.7795467261100923	1.3793858667255046	0.5520330299871941	0.6062733820354779	0.2071129185600497	1.0790769642867124	1.3905494340657996	0.24831103792433523
s69_repeat_RD11_01_51500.mzXML Peak area	1.532633412605955	1.9324517176633105	2.7951989208058405	3.928707594189624	2.6534691703676643	3.674544874857962	2.8784186328970973	3.0213822813069795	0.0	2.7844869724009587	3.974088619643924	2.295042133807873	3.0278728987351085	3.0511141006493374	4.498902410733463	2.8549235538506674	0.9391550875083654	2.829148537126002	2.8970983209252	2.497641447379097	3.0356038905544156	3.2137247389166754	3.6481492759854803	3.455932668791866	3.091131766404501	3.0605847929377332	2.845249470018468	2.555905709785878	0.39373543626889285	0.9785026487793147	1.319522971110019	2.324116095425611	3.7580172535930285	3.4080059595277814	2.7124710265059817	2.4255420813911437	2.832420586794142	3.8202688559760114	2.159610766464136	2.7787982500679878
s72_BD4_01_51091.mzXML Peak area	1.4617381960504263	0.8804420963907684	0.467858811341272	1.8781257562509648	0.40099048830465445	2.02791609053389	0.4152767788503611	0.3288107645493941	2.7844869724009587	0.0	2.102284276846298	2.989744293930106	2.168547700889188	0.4318916233613624	2.9171881358769243	0.641301172242516	1.8811557960494605	0.11726142826978213	3.129764361155611	1.7720041808983025	3.6422513417483473	0.5608658180546663	1.3583420311023326	1.069694361362393	0.48012945513381544	0.8485694498955513	0.9099492159654377	0.73246297265255	2.9137658967600344	2.3846517027992604	1.602153887772557	0.6776508995417434	2.03158817273178	1.613205858651629	0.2404452967720293	0.4687677882993363	0.14902349317726257	1.385914369921976	1.0733272839929666	0.2682804943261425
s77_BB8_01_51188.mzXML Peak area	2.502333864706358	2.5511655495471475	1.7940073562328551	0.35628770932598414	2.375582780646431	0.5551791544685891	2.4205332938136137	1.8399266142713455	3.974088619643924	2.102284276846298	0.0	2.725875419621478	1.2848668587321619	1.6951727974000677	0.8329952483915618	1.5079314327051714	3.102345754437167	2.1897918299578136	2.4125548244393387	1.5593196792342217	2.936519312927304	1.637424134284659	0.8629918719477538	1.1467545497773923	1.6555283312793372	1.2875371871352486	2.996707036926333	2.829867240879313	3.9171636861177466	3.1349561144223768	2.700778473742619	2.6902357381409696	0.3328031704867233	0.6070196135793515	2.3406482919181792	2.0122404548226553	1.9755711670637415	0.9627102502861623	3.0956607911027367	1.8813068050488138
s74_repeat_BD12_01_51287.mzXML Peak area	1.7830530873915194	2.504575539453299	2.698242484548571	2.8347527304571227	3.030089014043728	2.3547715205649387	3.313922530765421	2.9998799107817913	2.295042133807873	2.989744293930106	2.725875419621478	0.0	1.4638027330261214	2.931192091818061	2.8607354330552908	2.5618771412483854	1.9816746710324236	3.0909519236295715	0.6360919374823927	1.364310393299544	0.8209219200423291	3.053154911069128	2.8932941665398486	2.8910529645487792	2.9390263255680398	2.5874613566425686	3.643888975211974	3.321808906072557	2.007713639134727	1.3752592491922078	1.812167185945854	3.0093838603214644	2.462411630908089	2.3522991752387004	3.1058154887583127	2.5312598841567686	2.9283464145358082	3.140988632195521	3.1992811473204545	2.794987089294966
s79_BE2_01_51111.mzXML Peak area	1.7298564336622906	2.1317528352228314	1.7871065071990901	1.3877543474522103	2.3165103069178903	0.8948869095523609	2.5488568183320286	2.0338013805766026	3.0278728987351085	2.168547700889188	1.2848668587321619	1.4638027330261214	0.0	1.9236425527484804	1.537882984287864	1.564859506437569	2.2776730021569227	2.2749003789720317	1.2013122932904816	0.5876983552120465	1.7773969856433285	1.9918946724753899	1.547934336985872	1.637765818884415	1.9095304612887172	1.4616014217837126	3.022543225449148	2.75730563727877	2.8803299756190652	2.0851613168720537	1.9040773092472747	2.4939964659489755	1.0021166875814593	0.9594922986328797	2.3681635243960817	1.8210313479221194	2.0570038777243522	1.7994935598756154	2.8443518430251387	1.916808897647249
s82_BD10_01_51103.mzXML Peak area	1.616220071683543	1.1861674099254778	0.3762266736543249	1.457102577339525	0.7451973930238082	1.6549719166557768	0.7630435046667453	0.16010220389155735	3.0511141006493374	0.4318916233613624	1.6951727974000677	2.931192091818061	1.9236425527484804	0.0	2.51853929554896	0.3795668651038687	2.1220990786817984	0.5008123749670584	2.983563095032867	1.6211469256352793	3.520355282258729	0.19113953570859635	0.930812811847232	0.6474051595171066	0.04984795818758628	0.488180673390089	1.3018284448677226	1.1604025544424255	3.1385826005436575	2.52984865141165	1.7897460085588837	1.0882091017404638	1.6437657171875604	1.242406571449402	0.6670030562814553	0.6283130483924163	0.3107596565803067	0.9568415354654973	1.4997768702216867	0.29569398930215146
s84_BB7_01_51046.mzXML Peak area	3.10667415345851	3.281707428403693	2.583759366258921	1.1231118776502484	3.1743196293844846	1.0311365789200835	3.244547307401358	2.6615237366704494	4.498902410733463	2.9171881358769243	0.8329952483915618	2.8607354330552908	1.537882984287864	2.51853929554896	0.0	2.3020448201188253	3.6915333725590695	3.00822128552194	2.389940763581322	2.008742516600172	2.8398751925751853	2.4687589269127947	1.672378543090539	1.9598909328973957	2.4800358942463383	2.0865009603711893	3.8181340329890467	3.6381549673463165	4.385835391843746	3.5866720412435673	3.296340133400761	3.475750212182302	0.9193119245033512	1.3332374611519602	3.1550192506705486	2.780615174420138	2.789197503164368	1.7694228906462823	3.876443638064684	2.686092633963897
s86_BB11_01_51054.mzXML Peak area	1.3670732299713393	1.1098295337046835	0.37762867711969766	1.3171861344728004	0.9083764345189831	1.408392598132621	1.0164646774848194	0.49173381098571683	2.8549235538506674	0.641301172242516	1.5079314327051714	2.5618771412483854	1.564859506437569	0.3795668651038687	2.3020448201188253	0.0	1.9208049761991801	0.7460145433886675	2.6071622344189875	1.2430775446946702	3.1413061224400267	0.4939860462609041	0.8683036751537768	0.6383777523535664	0.3820057208347792	0.26975440942559104	1.5477800332769935	1.3393044323684524	2.9069196263012267	2.2478424232440872	1.5553319019072642	1.1842005920506125	1.4109036250055655	0.9836405008575968	0.8704622046097092	0.5274631801815817	0.5236268071184135	0.9833676188233813	1.5904008471176578	0.4032926442135558
s4_BD9_01_51101.mzXML Peak area	0.617518736464119	1.0403626504559123	1.8599835245587302	3.027565338489545	1.7725797437035236	2.815066666917872	2.030538141259858	2.09704283436623	0.9391550875083654	1.8811557960494605	3.102345754437167	1.9816746710324236	2.2776730021569227	2.1220990786817984	3.6915333725590695	1.9208049761991801	0.0	1.935376544450697	2.4720207988776512	1.71204782127309	2.7777922618829636	2.2883328468898334	2.7187282618986064	2.5189503579535995	2.1606550747210393	2.125605457457708	2.092994630787436	1.7753298076157706	1.0337417307309078	0.7156040331614614	0.4039260325742778	1.4988237677113039	2.894003606941228	2.520319306086971	1.8393835913301633	1.4961310369597425	1.915015482995826	2.8889450293843937	1.4621712950362482	1.8515708487944886
s7_BB6_01_51183.mzXML Peak area	1.5362684704669485	0.9167768313918225	0.5405085327786379	1.9551956939747843	0.35151668982464906	2.1172766600781587	0.3540240424309526	0.3737736575886772	2.829148537126002	0.11726142826978213	2.1897918299578136	3.0909519236295715	2.2749003789720317	0.5008123749670584	3.00822128552194	0.7460145433886675	1.935376544450697	0.0	3.2362307404176684	1.8811918092779338	3.750262438949389	0.6145430839689378	1.4251200519909073	1.1313042809292513	0.5456948903642942	0.9385516489349184	0.8112644855334851	0.6637558104998212	2.9675708935986735	2.4591429386342223	1.671092601471913	0.6459080881165312	2.122587424092384	1.7085922960926647	0.1840444383323269	0.5626489774449818	0.22884496403547386	1.4417438432188536	1.0368365312195194	0.3621479434979016
s99_BB2_01_51035.mzXML Peak area	2.1487158749666815	2.8028782774342584	2.787662686141296	2.569285380147453	3.21508281855093	2.0516240884194854	3.4846446677824754	3.074436822585052	2.8970983209252	3.129764361155611	2.4125548244393387	0.6360919374823927	1.2013122932904816	2.983563095032867	2.389940763581322	2.6071622344189875	2.4720207988776512	3.2362307404176684	0.0	1.3687671996895985	0.6086346829335741	3.0800176711749	2.7441601590774813	2.8072958090604465	2.980823824051775	2.570688728685664	3.883131268191781	3.5764652950469635	2.6264789204696406	1.944575364530933	2.2294946207069035	3.273842789914807	2.1557337591184935	2.155590600650228	3.2848606627889687	2.7016360510198547	3.0446386558418483	2.9938253932963867	3.528318064629257	2.9040791493584597
