	s1_BD6_01_51095.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
s102_BB8_01_51048.mzXML Peak area	1.1628713818239185	1.6032482612708694	1.444065943510894	1.5900797429257894	1.9002917720789287	1.2296886709737802	2.1318150857877116	1.7135591510290933	2.497641447379097	1.7720041808983025	1.5593196792342217	1.364310393299544	0.5876983552120465	1.6211469256352793	2.008742516600172	1.2430775446946702	1.71204782127309	1.8811918092779338	1.3687671996895985	0.0	1.9008033234257908	1.7228225864738893	1.553158006492555	1.5390885118558952	1.6212251380953575	1.238581619494536	2.5739676552636306	2.282405489943075	2.390255700185197	1.5958913067071865	1.3326123286056233	2.007567554486441	1.3107457179602011	1.0626156955061932	1.9411194341394675	1.3671376834377253	1.6846601221404631	1.7905912293327206	2.319022757757067	1.5449512068372864
s87_BG6_01_51489.mzXML Peak area	2.5589434892751743	3.2574366823087626	3.331338207459872	3.123402115823919	3.730614397467269	2.620804828862656	3.9746925052766366	3.611965585403102	3.0356038905544156	3.6422513417483473	2.936519312927304	0.8209219200423291	1.7773969856433285	3.520355282258729	2.8398751925751853	3.1413061224400267	2.7777922618829636	3.750262438949389	0.6086346829335741	1.9008033234257908	0.0	3.6154004659571046	3.3125726738725803	3.3768734582988014	3.5205923229564466	3.1253359197241912	4.366014306243348	4.047015669393223	2.7355853637969036	2.1609860587232275	2.598186327699396	3.7475016044576375	2.7049787487050687	2.7144259126670716	3.7834398774064186	3.2047990448390866	3.568720559174434	3.5507772216809665	3.958306507227833	3.4312704638817837
s90_BA10_01_51027.mzXML Peak area	1.7844186308678982	1.359796251864925	0.5631012890917889	1.3979865971038226	0.897836673759541	1.65773388707481	0.8134674006237075	0.3009952190638446	3.2137247389166754	0.5608658180546663	1.637424134284659	3.053154911069128	1.9918946724753899	0.19113953570859635	2.4687589269127947	0.4939860462609041	2.2883328468898334	0.6145430839689378	3.0800176711749	1.7228225864738893	3.6154004659571046	0.0	0.8713995019476517	0.6105323638813684	0.16674330637639523	0.5479846665076304	1.381442080453579	1.2682959819316872	3.304826063493983	2.689260013163588	1.9554880704633384	1.2362687653623952	1.6231132529331123	1.2407247774484347	0.7778748264551881	0.8022260214799137	0.46791135533879474	0.8432208590967427	1.630039175079298	0.4793312272198642
s92_BE3_01_51113.mzXML Peak area	2.1224298364108787	1.9503057673369117	1.0619253985793484	0.5557086793098384	1.607920503119817	0.9043191827287586	1.6788109733793188	1.0539670220127815	3.6481492759854803	1.3583420311023326	0.8629918719477538	2.8932941665398486	1.547934336985872	0.930812811847232	1.672378543090539	0.8683036751537768	2.7187282618986064	1.4251200519909073	2.7441601590774813	1.553158006492555	3.3125726738725803	0.8713995019476517	0.0	0.3054135208294193	0.8842450400545533	0.6153588751669078	2.2094971055508803	2.0853786801008223	3.6516858060948425	2.9311531243853333	2.329588313354272	1.975391531594203	0.8567050331519998	0.6169675346082989	1.5958059584056434	1.3795778129301854	1.2228155532905733	0.29008591584787635	2.405152301858797	1.1515820799019292
s94_BA4_01_51015.mzXML Peak area	1.9375858646778097	1.6906211369341844	0.7770040458395917	0.8541152268954996	1.306502053934736	1.1194555577701668	1.4000327270833868	0.7584533352417161	3.455932668791866	1.069694361362393	1.1467545497773923	2.8910529645487792	1.637765818884415	0.6474051595171066	1.9598909328973957	0.6383777523535664	2.5189503579535995	1.1313042809292513	2.8072958090604465	1.5390885118558952	3.3768734582988014	0.6105323638813684	0.3054135208294193	0.0	0.6005260553620713	0.40321687600019596	1.9112068349405646	1.7903137134944156	3.4808420103030477	2.7911942038950497	2.141751754597476	1.6831294036320308	1.1040231033013883	0.7820837865850462	1.3051809615408996	1.1216067436374233	0.9311729598486406	0.4314990992433991	2.117196229283689	0.8658957609462162
s9_BB5_01_51041.mzXML Peak area	1.6482255324173134	1.2298953135759074	0.3969740783202869	1.4134305591173346	0.7861707473295232	1.6202224351061616	0.8053282432503804	0.19249625369463022	3.091131766404501	0.48012945513381544	1.6555283312793372	2.9390263255680398	1.9095304612887172	0.04984795818758628	2.4800358942463383	0.3820057208347792	2.1606550747210393	0.5456948903642942	2.980823824051775	1.6212251380953575	3.5205923229564466	0.16674330637639523	0.8842450400545533	0.6005260553620713	0.0	0.462788990490799	1.3427860421781852	1.2069425941234206	3.1746722978095097	2.5595533580146386	1.8244853207835494	1.1353734709933805	1.6073414345007815	1.2102819963050666	0.7141595420100001	0.6683953994541564	0.3576097487843163	0.908410655478899	1.5486289739923822	0.33843916146982195
s12_BC6_01_51209.mzXML Peak area	1.5454975651649396	1.3400648816097391	0.5105624534828136	1.0696484253856477	1.090722480568409	1.1812661100188753	1.2236388751230374	0.6125070466203297	3.0605847929377332	0.8485694498955513	1.2875371871352486	2.5874613566425686	1.4616014217837126	0.488180673390089	2.0865009603711893	0.26975440942559104	2.125605457457708	0.9385516489349184	2.570688728685664	1.238581619494536	3.1253359197241912	0.5479846665076304	0.6153588751669078	0.40321687600019596	0.462788990490799	0.0	1.7457550054163462	1.5639483167392636	3.088386587051369	2.402002087358655	1.746587789563935	1.4110209132641574	1.187142466302192	0.7747257238498989	1.0865832964112447	0.7709018834015103	0.7123186259314446	0.7716128558851292	1.8340331371911383	0.6034424213101586
s14_BB4_01_51039.mzXML Peak area	1.9093803997927434	1.1632218529095169	1.2969853892557706	2.7521372968839684	0.7432825204180598	2.917833196273015	0.6447117479094333	1.1627270557545601	2.845249470018468	0.9099492159654377	2.996707036926333	3.643888975211974	3.022543225449148	1.3018284448677226	3.8181340329890467	1.5477800332769935	2.092994630787436	0.8112644855334851	3.883131268191781	2.5739676552636306	4.366014306243348	1.381442080453579	2.2094971055508803	1.9112068349405646	1.3427860421781852	1.7457550054163462	0.0	0.3387607833796544	3.065910841701031	2.749228463743291	1.9712241368945553	0.6467586929843454	2.931430438590678	2.5178150749548496	0.6844096551820584	1.2104275422369561	1.034785791366595	2.1978316756697436	0.6938609984083477	1.1539127608922797
s17_BA6_01_51019.mzXML Peak area	1.583001681902999	0.8434822964646326	1.1094443431550522	2.608858626617404	0.5715738713022227	2.7282284352866717	0.5419876606564574	1.0355501405486598	2.555905709785878	0.73246297265255	2.829867240879313	3.321808906072557	2.75730563727877	1.1604025544424255	3.6381549673463165	1.3393044323684524	1.7753298076157706	0.6637558104998212	3.5764652950469635	2.282405489943075	4.047015669393223	1.2682959819316872	2.0853786801008223	1.7903137134944156	1.2069425941234206	1.5639483167392636	0.3387607833796544	0.0	2.7654696337897313	2.4228257269584366	1.6420396036294411	0.3476247472419858	2.74625769704944	2.321484329601426	0.4956933131459132	0.937523466292356	0.8653595792505552	2.1038717190993435	0.45622398694935434	0.9611999033955008
s109_repeat_BC8_01_51291.mzXML Peak area	1.5457661317085274	2.063211937955014	2.862494033335013	3.888941390708386	2.7883325769208724	3.584054760997411	3.0570705044546673	3.119763277963066	0.39373543626889285	2.9137658967600344	3.9171636861177466	2.007713639134727	2.8803299756190652	3.1385826005436575	4.385835391843746	2.9069196263012267	1.0337417307309078	2.9675708935986735	2.6264789204696406	2.390255700185197	2.7355853637969036	3.304826063493983	3.6516858060948425	3.4808420103030477	3.1746722978095097	3.088386587051369	3.065910841701031	2.7654696337897313	0.0	0.7993681305906625	1.3533858468524205	2.5014662793139495	3.6813687482881603	3.36036520668758	2.8700560737497693	2.516713311397674	2.9428969708414496	3.8460190309958473	2.398550285109688	2.8726579754257906
s112_repeat_BB9_01_51300.mzXML Peak area	0.9325849330442515	1.6198196618469296	2.258976588785822	3.124423273912551	2.3221805729437723	2.801838398251841	2.600296076694372	2.538257882946917	0.9785026487793147	2.3846517027992604	3.1349561144223768	1.3752592491922078	2.0851613168720537	2.52984865141165	3.5866720412435673	2.2478424232440872	0.7156040331614614	2.4591429386342223	1.944575364530933	1.5958913067071865	2.1609860587232275	2.689260013163588	2.9311531243853333	2.7911942038950497	2.5595533580146386	2.402002087358655	2.749228463743291	2.4228257269584366	0.7993681305906625	0.0	0.7956817861985144	2.124756109787233	2.896271416432623	2.5914945820067663	2.397279644789539	1.941263028348355	2.385668323252397	3.1383058659398926	2.1543261285938824	2.2913954528588563
s19_rerun_BC10_01_51138.mzXML Peak area	0.22156744435336143	0.8299835427230849	1.5230901198425724	2.6258324806644313	1.5349022072918708	2.4127987301141784	1.8109764921563578	1.7808093671656138	1.319522971110019	1.602153887772557	2.700778473742619	1.812167185945854	1.9040773092472747	1.7897460085588837	3.296340133400761	1.5553319019072642	0.4039260325742778	1.671092601471913	2.2294946207069035	1.3326123286056233	2.598186327699396	1.9554880704633384	2.329588313354272	2.141751754597476	1.8244853207835494	1.746587789563935	1.9712241368945553	1.6420396036294411	1.3533858468524205	0.7956817861985144	0.0	1.3401307308529486	2.4908345815383295	2.1171500023749323	1.6034951716805455	1.1760846511623837	1.6142522042360135	2.508699735152861	1.421496113460869	1.5325194911128641
s22_BC4_01_51065.mzXML Peak area	1.2674777178098624	0.5193196547187173	0.9330855581319901	2.478020245679576	0.4328929422603488	2.531606765703603	0.6928393038866426	0.971929575981368	2.324116095425611	0.6776508995417434	2.6902357381409696	3.0093838603214644	2.4939964659489755	1.0882091017404638	3.475750212182302	1.1842005920506125	1.4988237677113039	0.6459080881165312	3.273842789914807	2.007567554486441	3.7475016044576375	1.2362687653623952	1.975391531594203	1.6831294036320308	1.1353734709933805	1.4110209132641574	0.6467586929843454	0.3476247472419858	2.5014662793139495	2.124756109787233	1.3401307308529486	0.0	2.571089093061435	2.1446088683232576	0.5039449299029838	0.711123020138238	0.7781925238105605	2.0407932977279724	0.4569685916450963	0.828847095073017
s24_BD2_01_51087.mzXML Peak area	2.2874977429789687	2.38938279104423	1.6725693595103805	0.43534548975859044	2.265356915403808	0.2305838860793882	2.384968535116536	1.7795467261100923	3.7580172535930285	2.03158817273178	0.3328031704867233	2.462411630908089	1.0021166875814593	1.6437657171875604	0.9193119245033512	1.4109036250055655	2.894003606941228	2.122587424092384	2.1557337591184935	1.3107457179602011	2.7049787487050687	1.6231132529331123	0.8567050331519998	1.1040231033013883	1.6073414345007815	1.187142466302192	2.931430438590678	2.74625769704944	3.6813687482881603	2.896271416432623	2.4908345815383295	2.571089093061435	0.0	0.4331411286727672	2.269639932990942	1.8833800153650446	1.8983858632410535	1.0454993850977703	2.982857580225576	1.788645030040922
s27_BE5_01_51263.mzXML Peak area	1.9126588267232476	1.9669937153377626	1.2606249710631692	0.5358776787285244	1.8518743719940522	0.46779433000968473	1.9719955102906508	1.3793858667255046	3.4080059595277814	1.613205858651629	0.6070196135793515	2.3522991752387004	0.9594922986328797	1.242406571449402	1.3332374611519602	0.9836405008575968	2.520319306086971	1.7085922960926647	2.155590600650228	1.0626156955061932	2.7144259126670716	1.2407247774484347	0.6169675346082989	0.7820837865850462	1.2102819963050666	0.7747257238498989	2.5178150749548496	2.321484329601426	3.36036520668758	2.5914945820067663	2.1171500023749323	2.1446088683232576	0.4331411286727672	0.0	1.8490059273823627	1.4528994095163816	1.4830501707524062	0.8462768822879543	2.5518219548363987	1.3688743134381034
s32_BB9_01_51050.mzXML Peak area	1.4888798387003583	0.8261094091519654	0.673868987414784	2.1180512841184664	0.34089419955659095	2.263573876544178	0.2728964968429515	0.5520330299871941	2.7124710265059817	0.2404452967720293	2.3406482919181792	3.1058154887583127	2.3681635243960817	0.6670030562814553	3.1550192506705486	0.8704622046097092	1.8393835913301633	0.1840444383323269	3.2848606627889687	1.9411194341394675	3.7834398774064186	0.7778748264551881	1.5958059584056434	1.3051809615408996	0.7141595420100001	1.0865832964112447	0.6844096551820584	0.4956933131459132	2.8700560737497693	2.397279644789539	1.6034951716805455	0.5039449299029838	2.269639932990942	1.8490059273823627	0.0	0.5850229197859763	0.3821579999033202	1.6135064621105586	0.863309008761165	0.49313832718891254
s29_BB4_01_51179.mzXML Peak area	1.0158011597724004	0.5890246554994144	0.41789160755506666	1.831165436123672	0.5756926119542691	1.8515555352339172	0.8121050882114139	0.6062733820354779	2.4255420813911437	0.4687677882993363	2.0122404548226553	2.5312598841567686	1.8210313479221194	0.6283130483924163	2.780615174420138	0.5274631801815817	1.4961310369597425	0.5626489774449818	2.7016360510198547	1.3671376834377253	3.2047990448390866	0.8022260214799137	1.3795778129301854	1.1216067436374233	0.6683953994541564	0.7709018834015103	1.2104275422369561	0.937523466292356	2.516713311397674	1.941263028348355	1.1760846511623837	0.711123020138238	1.8833800153650446	1.4528994095163816	0.5850229197859763	0.0	0.4453990810845588	1.4901435597144812	1.1012296703926838	0.3588820022615045
s34_BA8_01_51023.mzXML Peak area	1.4578740892635822	0.9265219147085524	0.33408003556651145	1.7442005240575476	0.45067693289574856	1.890013550313683	0.5527789826792514	0.2071129185600497	2.832420586794142	0.14902349317726257	1.9755711670637415	2.9283464145358082	2.0570038777243522	0.3107596565803067	2.789197503164368	0.5236268071184135	1.915015482995826	0.22884496403547386	3.0446386558418483	1.6846601221404631	3.568720559174434	0.46791135533879474	1.2228155532905733	0.9311729598486406	0.3576097487843163	0.7123186259314446	1.034785791366595	0.8653595792505552	2.9428969708414496	2.385668323252397	1.6142522042360135	0.7781925238105605	1.8983858632410535	1.4830501707524062	0.3821579999033202	0.4453990810845588	0.0	1.2650054616237065	1.1952340823221754	0.14295160311574806
s37_BA5_01_51017.mzXML Peak area	2.3095524214503618	2.0743667954760814	1.1762193487094277	0.675628369974044	1.6694113838298301	1.1348512982773828	1.6501934682679884	1.0790769642867124	3.8202688559760114	1.385914369921976	0.9627102502861623	3.140988632195521	1.7994935598756154	0.9568415354654973	1.7694228906462823	0.9833676188233813	2.8889450293843937	1.4417438432188536	2.9938253932963867	1.7905912293327206	3.5507772216809665	0.8432208590967427	0.29008591584787635	0.4314990992433991	0.908410655478899	0.7716128558851292	2.1978316756697436	2.1038717190993435	3.8460190309958473	3.1383058659398926	2.508699735152861	2.0407932977279724	1.0454993850977703	0.8462768822879543	1.6135064621105586	1.4901435597144812	1.2650054616237065	0.0	2.456354258315121	1.2221734216392763
s39_BD9_01_51246.mzXML Peak area	1.419683504397497	0.7442548979259115	1.377300995299703	2.9011690275016977	0.8767139545922307	2.9501088682880607	0.9472386237051988	1.3905494340657996	2.159610766464136	1.0733272839929666	3.0956607911027367	3.1992811473204545	2.8443518430251387	1.4997768702216867	3.876443638064684	1.5904008471176578	1.4621712950362482	1.0368365312195194	3.528318064629257	2.319022757757067	3.958306507227833	1.630039175079298	2.405152301858797	2.117196229283689	1.5486289739923822	1.8340331371911383	0.6938609984083477	0.45622398694935434	2.398550285109688	2.1543261285938824	1.421496113460869	0.4569685916450963	2.982857580225576	2.5518219548363987	0.863309008761165	1.1012296703926838	1.1952340823221754	2.456354258315121	0.0	1.2537003022256352
s42_BB3_01_51037.mzXML Peak area	1.3653056777550594	0.8943450652537176	0.21876361694586763	1.6579598008549716	0.5159011815940958	1.773303894377802	0.6802959910037011	0.24831103792433523	2.7787982500679878	0.2682804943261425	1.8813068050488138	2.794987089294966	1.916808897647249	0.29569398930215146	2.686092633963897	0.4032926442135558	1.8515708487944886	0.3621479434979016	2.9040791493584597	1.5449512068372864	3.4312704638817837	0.4793312272198642	1.1515820799019292	0.8658957609462162	0.33843916146982195	0.6034424213101586	1.1539127608922797	0.9611999033955008	2.8726579754257906	2.2913954528588563	1.5325194911128641	0.828847095073017	1.788645030040922	1.3688743134381034	0.49313832718891254	0.3588820022615045	0.14295160311574806	1.2221734216392763	1.2537003022256352	0.0
