"Sample ID"	Current_Natural_Log_Ratio	ATTRIBUTE_blood_procedure	ATTRIBUTE_blood_procedure
"s1_BD6_01_51095.mzXML Peak area"	0.8298901434667822	pre	pre
"s3_repeat_BB7_01_51502.mzXML Peak area"	0.4881673628728187	bd	bd
"s48_BD12_01_51107.mzXML Peak area"	-1.194077628827456	bd	bd
"s47_repeat_BB5_01_51298.mzXML Peak area"	-0.0741745151580595	post	post
"s44_BC5_01_51067.mzXML Peak area"	0.3044792696449754	pre	pre
"s53_repeat_BB10_01_51504.mzXML Peak area"	-1.599276754390175	bd	bd
"s49_repeat_BB12_01_51305.mzXML Peak area"	1.0504779042867405	pre	pre
"s52_BC9_01_51216.mzXML Peak area"	-0.2333364953346564	post	post
"s60_BE12_01_51130.mzXML Peak area"	-1.8650180562262424	post	post
"s61_repeat_BC10_01_51509.mzXML Peak area"	0.31963443562630545	bd	bd
"s57_BA12_01_51170.mzXML Peak area"	-0.6941648191339524	pre	pre
"s68_BA11_01_51029.mzXML Peak area"	0.5903250193148732	bd	bd
"s67b_BB6_01_51043.mzXML Peak area"	-0.8450743479465661	post	post
"s69_repeat_RD11_01_51500.mzXML Peak area"	0.8497328817359051	pre	pre
"s73_BD8_01_51099.mzXML Peak area"	-0.40487177742157243	bd	bd
"s72_BD4_01_51091.mzXML Peak area"	-0.2819745399402347	post	post
"s77_BB8_01_51188.mzXML Peak area"	0.13553432145861954	post	post
"s74_repeat_BD12_01_51287.mzXML Peak area"	1.8653143500292	pre	pre
"s78_rerun_BC12_01_51132.mzXML Peak area"	1.6074509118041576	bd	bd
"s83_BD3_01_51089.mzXML Peak area"	1.420772790314281	bd	bd
"s79_BE2_01_51111.mzXML Peak area"	0.13087860491935643	pre	pre
"s82_BD10_01_51103.mzXML Peak area"	-1.5884848485067682	post	post
"s84_BB7_01_51046.mzXML Peak area"	1.7064901249904274	pre	pre
"s86_BB11_01_51054.mzXML Peak area"	-0.0014895020253415936	post	post
"s4_BD9_01_51101.mzXML Peak area"	1.5022448896091767	pre	pre
"s7_BB6_01_51183.mzXML Peak area"	-0.11068077714591773	post	post
"s8_repeat_BD6_01_51285.mzXML Peak area"	1.3422767662691122	bd	bd
"s103_rerun_BC8_01_51134.mzXML Peak area"	-0.06466102716172095	bd	bd
"s99_BB2_01_51035.mzXML Peak area"	1.2070360543990937	pre	pre
"s102_BB8_01_51048.mzXML Peak area"	0.1245628669923633	post	post
"s87_BG6_01_51489.mzXML Peak area"	0.3170857504438285	pre	pre
"s91_BA11_01_51168.mzXML Peak area"	0.2743319599951395	bd	bd
"s90_BA10_01_51027.mzXML Peak area"	-1.1515201303544593	post	post
"s92_BE3_01_51113.mzXML Peak area"	-0.10377879742101825	pre	pre
"s95_repeat_RA3_01_51493.mzXML Peak area"	0.5312333622526992	bd	bd
"s94_BA4_01_51015.mzXML Peak area"	0.7751610108024067	post	post
"s9_BB5_01_51041.mzXML Peak area"	0.15677192435298615	pre	pre
"s12_BC6_01_51209.mzXML Peak area"	-0.19086579469568044	post	post
"s13_repeat_BE4_01_51280.mzXML Peak area"	1.768947329971816	bd	bd
"s18_BG7_01_51491.mzXML Peak area"	1.7499165922735553	bd	bd
"s14_BB4_01_51039.mzXML Peak area"	0.20500224056931948	pre	pre
"s17_BA6_01_51019.mzXML Peak area"	-0.2944505303387377	post	post
"s113_rerun_BA4_01_51154.mzXML Peak area"	-0.2519812815129825	bd	bd
"s109_repeat_BC8_01_51291.mzXML Peak area"	1.6430639360870565	pre	pre
"s112_repeat_BB9_01_51300.mzXML Peak area"	0.4395647856435012	post	post
"s19_rerun_BC10_01_51138.mzXML Peak area"	0.20559917417741325	pre	pre
"s23_repeat_BD5_01_51511.mzXML Peak area"	0.8859072093115135	bd	bd
"s22_BC4_01_51065.mzXML Peak area"	-0.07715175412187314	post	post
"s24_BD2_01_51087.mzXML Peak area"	0.4948435660236381	pre	pre
"s27_BE5_01_51263.mzXML Peak area"	-0.25425057544996754	post	post
"s28_BE4_01_51115.mzXML Peak area"	0.43970828742160784	bd	bd
"s32_BB9_01_51050.mzXML Peak area"	-1.139592082516156	post	post
"s33_repeat_BE7_01_51515.mzXML Peak area"	1.1546763676920655	bd	bd
"s29_BB4_01_51179.mzXML Peak area"	-0.7386507177043207	pre	pre
"s34_BA8_01_51023.mzXML Peak area"	-0.9769621758005016	pre	pre
"s38_BE5_01_51117.mzXML Peak area"	-0.6329109209902395	bd	bd
"s37_BA5_01_51017.mzXML Peak area"	-0.17156394406673492	post	post
"s39_BD9_01_51246.mzXML Peak area"	-0.7351681665848364	pre	pre
"s43_BE10_01_51125.mzXML Peak area"	1.1362627299711185	bd	bd
"s42_BB3_01_51037.mzXML Peak area"	-1.1653526554878422	post	post